Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Cork South Central,Donohoe,John,M,Non-Party,NON-P.,8,0,2713,103,Excluded,166,7,Corcaigh Theas-Lár
Cork South Central,Kennedy,Ciara,F,The Labour Party,LAB.,8,0,1151,1263,Excluded,167,7,Corcaigh Theas-Lár
Cork South Central,Martin,Micheál,M,Fianna Fáil,F.F.,8,0,0,11023,Elected,168,7,Corcaigh Theas-Lár
Cork South Central,McGrath,Michael,M,Fianna Fáil,F.F.,8,620,0,9236,Elected,169,7,Corcaigh Theas-Lár
Cork South Central,Murray Walsh,Bobby,M,Solidarity - People Before Profit,S.P.B.P.,8,0,481,764,Excluded,170,7,Corcaigh Theas-Lár
Cork South Central,O'Brien,William,M,Non-Party,NON-P.,8,0,2477,202,Excluded,171,7,Corcaigh Theas-Lár
Cork South Central,O'Dwyer,Patricia,F,Social Democrats,S.D.,8,0,1419,1077,Excluded,172,7,Corcaigh Theas-Lár
Cork South Central,Ó Laoghaire,Donnchadh,M,Sinn Féin,S.F.,8,0,0,14057,Elected,173,7,Corcaigh Theas-Lár
Cork South Central,O'Leary,Sean,M,Non-Party,NON-P.,8,0,2700,102,Excluded,174,7,Corcaigh Theas-Lár
Cork South West,Cairns,Holly,F,Social Democrats,S.D.,8,1007,0,4696,Elected,161,8,Corcaigh Thiar Theas
Cork South West,Coakley,Karen,F,Fine Gael,F.G.,8,0,25,2526,Excluded,162,8,Corcaigh Thiar Theas
Cork South West,Coleman,Alan,M,Non-Party,NON-P.,8,0,747,1801,Excluded,163,8,Corcaigh Thiar Theas
Cork South West,Collins,Michael,M,Non-Party,NON-P.,8,0,0,11712,Elected,164,8,Corcaigh Thiar Theas
Cork South West,Connolly,Bernadette,F,Green Party/ Comhaontas Glas,G.P.,8,0,1007,1647,Excluded,165,8,Corcaigh Thiar Theas
Cork South West,Hayes,Paul,M,Sinn Féin,S.F.,8,0,0,4777,Excluded,166,8,Corcaigh Thiar Theas
Cork South West,Lombard,Tim,M,Fine Gael,F.G.,8,1559,0,5865,,167,8,Corcaigh Thiar Theas
Cork South West,Murphy O'Mahony,Margaret,F,Fianna Fáil,F.F.,8,0,0,4077,Excluded,168,8,Corcaigh Thiar Theas
Cork South West,O'Connor,Kevin,M,Solidarity - People Before Profit,S.P.B.P.,8,0,2337,427,Excluded,169,8,Corcaigh Thiar Theas
Cork South West,O'Leary,Sean,M,Non-Party,NON-P.,8,0,2737,33,Excluded,170,8,Corcaigh Thiar Theas
Cork South West,O'Sullivan,Christopher,M,Fianna Fáil,F.F.,8,0,0,6262,Elected,171,8,Corcaigh Thiar Theas
Cork South West,Ruane,Mairead,F,Aontú,A.,8,0,2241,515,Excluded,172,8,Corcaigh Thiar Theas
Donegal,Casey,Peter,M,Non-Party,NON-P.,9,0,1096,1143,Excluded,161,9,Dún na nGall
Donegal,Doherty,Pearse,M,Sinn Féin,S.F.,9,0,0,21044,Elected,162,9,Dún na nGall
Donegal,Gallagher,Pat The Cope,M,Fianna Fáil,F.F.,9,1835,0,7469,Excluded,163,9,Dún na nGall
Donegal,Harley,Martin M.,M,Fine Gael,F.G.,9,0,0,3056,Excluded,164,9,Dún na nGall
Donegal,MacLochlainn,Pádraig,M,Sinn Féin,S.F.,9,0,0,13891,Elected,165,9,Dún na nGall
Donegal,McConalogue,Charlie,M,Fianna Fáil,F.F.,9,1477,0,8347,Elected,166,9,Dún na nGall
Donegal,McConnell,Niall,M,Non-Party,NON-P.,9,0,2396,580,Excluded,167,9,Dún na nGall
Donegal,Mc Guinness,Arthur Desmond,M,Non-Party,NON-P.,9,0,3119,56,Excluded,168,9,Dún na nGall
Donegal,McHugh,Joe,M,Fine Gael,F.G.,9,805,0,7621,Elected,169,9,Dún na nGall
Donegal,O'Donnell,John,M,Non-Party,NON-P.,9,0,0,4735,Excluded,170,9,Dún na nGall
Donegal,Pringle,Thomas,M,Non-Party,NON-P.,9,664,0,5472,Elected,172,9,Dún na nGall
Donegal,Sweeney,Mary T.,F,Aontú,A.,9,0,0,2382,Excluded,173,9,Dún na nGall
