Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Meath East,Bonner,Joe,M,Non-Party,NON-P.,7,0,0,2934,Excluded,161,34,An Mhí Thoir
Meath East,Byrne,Thomas,M,Fianna Fáil,F.F.,7,865,0,6039,Elected,162,34,An Mhí Thoir
Meath East,Doherty,Regina,F,Fine Gael,F.G.,7,0,0,4180,Excluded,163,34,An Mhí Thoir
Meath East,Geraghty-Smith,Deirdre,F,Fianna Fáil,F.F.,7,0,575,1941,Excluded,164,34,An Mhí Thoir
Meath East,Hoey,Annie,F,The Labour Party,LAB.,7,0,1748,874,Excluded,165,34,An Mhí Thoir
Meath East,Keegan,Andrew,M,Solidarity - People Before Profit,S.P.B.P.,7,0,2053,569,Excluded,166,34,An Mhí Thoir
Meath East,Keogan,Sharon,M,Non-Party,NON-P.,7,0,0,2475,Excluded,167,34,An Mhí Thoir
Meath East,McCabe,Seán,M,Green Party/ Comhaontas Glas,G.P.,7,3940,0,3251,,168,34,An Mhí Thoir
Meath East,McDonagh,Seamus,M,Workers Party,W.P.,7,0,2488,134,Excluded,169,34,An Mhí Thoir
Meath East,McEntee,Helen,F,Fine Gael,F.G.,7,0,0,7691,Elected,170,34,An Mhí Thoir
Meath East,O'Rourke,Darren,M,Sinn Féin,S.F.,7,0,0,10223,Elected,171,34,An Mhí Thoir
Meath East,Tóibín,Emer,F,Aontú,A.,7,0,917,1634,Excluded,172,34,An Mhí Thoir
Meath West,Cassells,Shane,M,Fianna Fáil,F.F.,6,2153,0,6742,,161,39,An Mhí Thiar
Meath West,English,Damien,M,Fine Gael,F.G.,6,819,0,5499,Elected,162,39,An Mhí Thiar
Meath West,French,Noel,M,Fine Gael,F.G.,6,0,0,2952,Excluded,163,39,An Mhí Thiar
Meath West,Guirke,Johnny,M,Sinn Féin,S.F.,6,0,0,12652,Elected,164,39,An Mhí Thiar
Meath West,Malone,John,M,Renua Ireland,R.I.,6,0,2305,209,Excluded,165,39,An Mhí Thiar
Meath West,McMenamin,Séamus,M,Green Party/ Comhaontas Glas,G.P.,6,0,215,1935,Excluded,166,39,An Mhí Thiar
Meath West,Moore,Ronan,M,Social Democrats,S.D.,6,0,0,2376,Excluded,167,39,An Mhí Thiar
Meath West,Reilly,Sarah,F,Fine Gael,F.G.,6,0,698,1817,Excluded,168,39,An Mhí Thiar
Meath West,Tóibín,Peadar,M,Aontú,A.,6,0,0,7322,Elected,169,39,An Mhí Thiar
Roscommon-Galway,Dolan,Aisling,F,Fine Gael,F.G.,6,0,0,5466,Excluded,161,996,Ros Comáin-Gaillimh
Roscommon-Galway,Fitzmaurice,Michael,M,Non-Party,NON-P.,6,0,0,13077,Elected,162,996,Ros Comáin-Gaillimh
Roscommon-Galway,Fallon,Thomas P,M,Non-Party,NON-P.,6,0,2743,88,Excluded,163,996,Ros Comáin-Gaillimh
Roscommon-Galway,Hanley,Paul,M,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,6,0,2521,319,Excluded,164,996,Ros Comáin-Gaillimh
Roscommon-Galway,Hope,James,M,Aontú,A.,6,0,2310,504,Excluded,165,996,Ros Comáin-Gaillimh
Roscommon-Galway,Kerrane,Claire,F,Sinn Féin,S.F.,6,859,0,8003,Elected,166,996,Ros Comáin-Gaillimh
Roscommon-Galway,Leyden,Orla,F,Fianna Fáil,F.F.,6,0,0,2953,Excluded,167,996,Ros Comáin-Gaillimh
Roscommon-Galway,Murphy,Eugene,M,Fianna Fáil,F.F.,6,2200,0,4945,Excluded,168,996,Ros Comáin-Gaillimh
Roscommon-Galway,Naughten,Denis,M,Non-Party,NON-P.,6,0,0,8422,Elected,169,996,Ros Comáin-Gaillimh
Roscommon-Galway,O'Donoghue,Julie,F,Green Party/ Comhaontas Glas,G.P.,6,0,1242,1413,Excluded,170,996,Ros Comáin-Gaillimh
Roscommon-Galway,Tynan,Kenny,M,Solidarity - People Before Profit,S.P.B.P.,6,0,2410,422,Excluded,171,996,Ros Comáin-Gaillimh
Sligo-Leitrim,Bree,Declan,M,Independents 4 Change,I.4.C.,15,0,0,2236,Excluded,161,35,Sligeach-Liatroim
Sligo-Leitrim,Conway,James,M,Non-Party,NON-P.,15,0,1268,1354,Excluded,162,35,Sligeach-Liatroim
Sligo-Leitrim,Cosgrove,Nessa,F,The Labour Party,LAB.,15,0,1730,1178,Excluded,163,35,Sligeach-Liatroim
Sligo-Leitrim,Ellis,Shane,M,Fianna Fáil,F.F.,15,0,0,2753,Excluded,164,35,Sligeach-Liatroim
Sligo-Leitrim,Feighan,Frankie,M,Fine Gael,F.G.,15,1447,0,5338,Elected,165,35,Sligeach-Liatroim
Sligo-Leitrim,Gallagher,Bláithín,F,Green Party/ Comhaontas Glas,G.P.,15,0,460,1791,Excluded,166,35,Sligeach-Liatroim
Sligo-Leitrim,Harkin,Marian,F,Non-Party,NON-P.,15,0,0,6972,Elected,167,35,Sligeach-Liatroim
Sligo-Leitrim,Kenny,Martin,M,Sinn Féin,S.F.,15,0,0,15035,Elected,168,35,Sligeach-Liatroim
Sligo-Leitrim,MacSharry,Marc,M,Fianna Fáil,F.F.,15,1403,0,7004,Elected,169,35,Sligeach-Liatroim
Sligo-Leitrim,McCloskey,Anne,F,Aontú,A.,15,0,2611,368,Excluded,170,35,Sligeach-Liatroim
Sligo-Leitrim,McWeeney,Paul,M,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,15,0,2482,451,Excluded,171,35,Sligeach-Liatroim
Sligo-Leitrim,O'Boyle,Gino,M,Solidarity - People Before Profit,S.P.B.P.,15,0,0,1746,Excluded,172,35,Sligeach-Liatroim
Sligo-Leitrim,O'Donnell,Mary,F,Non-Party,NON-P.,15,0,2980,46,Excluded,173,35,Sligeach-Liatroim
Sligo-Leitrim,O'Dwyer,Oisin,M,Renua Ireland,R.I.,15,0,2949,75,Excluded,174,35,Sligeach-Liatroim
Sligo-Leitrim,O'Hara,Bernie,F,Non-Party,NON-P.,15,0,2176,650,Excluded,175,35,Sligeach-Liatroim
Sligo-Leitrim,Perry,John,M,Non-Party,NON-P.,15,0,1571,1367,Excluded,176,35,Sligeach-Liatroim
Sligo-Leitrim,Scanlon,Eamon,M,Fianna Fáil,F.F.,15,2821,0,6246,,177,35,Sligeach-Liatroim
Sligo-Leitrim,Walsh,Thomas,M,Fine Gael,F.G.,15,0,0,4760,Excluded,178,35,Sligeach-Liatroim
Sligo-Leitrim,Wynne,Sean,M,Non-Party,NON-P.,15,0,1050,1310,Excluded,179,35,Sligeach-Liatroim
Tipperary,AHEARN,GARRET,M,Fine Gael,F.G.,9,2133,0,6206,,184,36,Tiobraid Árann
Tipperary,BROWNE,MARTIN,M,Sinn Féin,S.F.,9,0,0,10004,Elected,185,36,Tiobraid Árann
Tipperary,CAHILL,Dolores,F,Non-Party,NON-P.,9,0,2882,521,Excluded,186,36,Tiobraid Árann
Tipperary,CAHILL,JACKIE,M,Fianna Fáil,F.F.,9,693,0,7940,Elected,187,36,Tiobraid Árann
Tipperary,FARRELL,SANDRA,F,Fianna Fáil,F.F.,9,0,1134,2233,Excluded,188,36,Tiobraid Árann
Tipperary,GOLDSBORO,IMELDA,F,Fianna Fáil,F.F.,9,0,0,4082,Excluded,189,36,Tiobraid Árann
Tipperary,HANNIIGAN,JOE,M,Non-Party,NON-P.,9,0,0,4715,Excluded,190,36,Tiobraid Árann
Tipperary,HEALY,SEAMUS,M,Non-Party,NON-P.,9,0,0,5829,Excluded,191,36,Tiobraid Árann
Tipperary,KELLY,ALAN,M,The Labour Party,LAB.,9,410,0,7857,Elected,192,36,Tiobraid Árann
Tipperary,LOWRY,MICHAEL,M,Non-Party,NON-P.,9,0,0,14802,Elected,193,36,Tiobraid Árann
Tipperary,MCGRATH,MATTIE,M,Non-Party,NON-P.,9,0,0,9321,Elected,194,36,Tiobraid Árann
Tipperary,"NEWMAN JULIAN,",MARY,F,Fine Gael,F.G.,9,0,0,4926,Excluded,195,36,Tiobraid Árann
Tipperary,O'DONNELL,ROB,M,Green Party/ Comhaontas Glas,G.P.,9,0,94,3170,Excluded,196,36,Tiobraid Árann
Tipperary,SKEHAN,MARESE,F,Non-Party,NON-P.,9,0,3223,182,Excluded,197,36,Tiobraid Árann
Waterford,BUTLER,MARY,F,Fianna Fáil,F.F.,7,0,0,6644,Elected,161,38,Port  Lairge
Waterford,CLEARY,DR RONAN,M,Aontú,A.,7,0,1263,1049,Excluded,163,38,Port  Lairge
Waterford,CULLINANE,DAVID,M,Sinn Féin,S.F.,7,0,0,20569,Elected,164,38,Port  Lairge
Waterford,CUMMINS,JOHN,M,Fine Gael,F.G.,7,2275,0,4592,,165,38,Port  Lairge
Waterford,DUNPHY,UNA,F,Solidarity - People Before Profit,S.P.B.P.,7,0,0,1153,Excluded,166,38,Port  Lairge
Waterford,GEOGHEGAN,DAMIEN,M,Fine Gael,F.G.,7,0,0,4289,Excluded,167,38,Port  Lairge
Waterford,MULLIGAN,EDDIE,M,Fianna Fáil,F.F.,7,0,0,2654,Excluded,168,38,Port  Lairge
Waterford,O CATHASAIGH,MARC,M,Green Party/ Comhaontas Glas,G.P.,7,1014,0,3996,Elected,169,38,Port  Lairge
Waterford,PHILLIPS,BERNADETTE,F,Non-Party,NON-P.,7,0,1844,324,Excluded,170,38,Port  Lairge
Waterford,PRATT,JOHN,M,The Labour Party,LAB.,7,0,0,3498,Excluded,171,38,Port  Lairge
Waterford,SHANAHAN,MATT,M,Non-Party,NON-P.,7,44,0,4990,Elected,172,38,Port  Lairge
Wexford,BROWNE,JAMES,M,Fianna Fáil,F.F.,11,853,0,8058,Elected,196,40,Loch Garman
Wexford,Byrne,Malcolm,M,Fianna Fáil,F.F.,11,2976,0,6145,Excluded,197,40,Loch Garman
Wexford,Carthy,Ger,M,Non-Party,NON-P.,11,0,0,3024,Excluded,199,40,Loch Garman
Wexford,Codd,Jim,M,Non-Party,NON-P.,11,0,1114,1518,Excluded,200,40,Loch Garman
Wexford,D'Arcy,Michael,M,Fine Gael,F.G.,11,0,0,6472,Excluded,201,40,Loch Garman
Wexford,Howlin,Brendan,M,The Labour Party,LAB.,11,0,0,9223,Elected,202,40,Loch Garman
Wexford,Kehoe,Paul,M,Fine Gael,F.G.,11,976,0,6337,Elected,203,40,Loch Garman
Wexford,McDonald,Lisa,F,Fianna Fáil,F.F.,11,0,1718,1351,Excluded,204,40,Loch Garman
Wexford,Murphy,Bart James,M,Non-Party,NON-P.,11,0,3026,68,Excluded,205,40,Loch Garman
Wexford,Murphy,Verona,F,Non-Party,NON-P.,11,664,0,5825,Elected,206,40,Loch Garman
Wexford,Mythen,Johnny,M,Sinn Féin,S.F.,11,0,0,18717,Elected,207,40,Loch Garman
Wexford,O'Shea,Seanie,M,Independents 4 Change,I.4.C.,11,0,1539,825,Excluded,208,40,Loch Garman
Wexford,Roseingrave,Paula,F,Green Party/ Comhaontas Glas,G.P.,11,0,446,2028,Excluded,209,40,Loch Garman
Wexford,Sheehan,Michael,M,Fianna Fáil,F.F.,11,0,0,4366,Excluded,210,40,Loch Garman
Wexford,Wadding,Deirdre,F,Solidarity - People Before Profit,S.P.B.P.,11,0,0,1116,Excluded,211,40,Loch Garman
Wicklow,BEHAN,JOE,M,Non-Party,NON-P.,15,0,0,2988,Excluded,183,41,Cill Mhantáin
Wicklow,BRADY,JOHN,M,Sinn Féin,S.F.,15,0,0,17297,Elected,185,41,Cill Mhantáin
Wicklow,BRIGGS,SHARON,F,Solidarity - People Before Profit,S.P.B.P.,15,0,524,1037,Excluded,186,41,Cill Mhantáin
Wicklow,CASEY,PAT,M,Fianna Fáil,F.F.,15,0,0,4473,Excluded,187,41,Cill Mhantáin
Wicklow,CONNOR,SEAMUS,M,Aontú,A.,15,0,1621,1051,Excluded,188,41,Cill Mhantáin
Wicklow,COX,VALERIE,F,Non-Party,NON-P.,15,0,248,1805,Excluded,189,41,Cill Mhantáin
Wicklow,DONNELLY,STEPHEN,M,Fianna Fáil,F.F.,15,869,0,5467,Elected,190,41,Cill Mhantáin
Wicklow,DOYLE,ANDREW,M,Fine Gael,F.G.,15,3027,0,4940,Excluded,191,41,Cill Mhantáin
Wicklow,DUNNE,TOM,M,Non-Party,NON-P.,15,0,2343,478,Excluded,192,41,Cill Mhantáin
Wicklow,FITZGERALD,ANTHONY,M,Non-Party,NON-P.,15,0,2879,79,Excluded,193,41,Cill Mhantáin
Wicklow,GUNNING,EILEEN,F,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,15,0,2515,399,Excluded,194,41,Cill Mhantáin
Wicklow,HARRIS,SIMON,M,Fine Gael,F.G.,15,49,0,8765,Elected,195,41,Cill Mhantáin
Wicklow,KEDDY,CHARLIE,M,Non-Party,NON-P.,15,0,2662,219,Excluded,196,41,Cill Mhantáin
Wicklow,KING,WILLIAM,M,Non-Party,NON-P.,15,0,2946,20,Excluded,197,41,Cill Mhantáin
Wicklow,LARKIN,JOHN JOSEPH,M,Non-Party,NON-P.,15,0,2753,173,Excluded,198,41,Cill Mhantáin
Wicklow,MATTHEWS,STEVEN,M,Green Party/ Comhaontas Glas,G.P.,15,2265,0,5634,Elected,199,41,Cill Mhantáin
Wicklow,O BRIEN,PAUL,M,The Labour Party,LAB.,15,0,997,1727,Excluded,200,41,Cill Mhantáin
Wicklow,SNELL,JOHN,M,Non-Party,NON-P.,15,0,0,3050,Excluded,201,41,Cill Mhantáin
Wicklow,TIMMINS,BILLY,M,Fine Gael,F.G.,15,0,0,4679,Excluded,202,41,Cill Mhantáin
Wicklow,WHITMORE,JENNIEFER,F,Social Democrats,S.D.,15,0,0,7039,Elected,203,41,Cill Mhantáin
