Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Carlow-Kilkenny,RAY,ANGELA,Excluded,3,0,3,0,2738,-331,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,4,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,5,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,6,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,7,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,8,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,9,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,RAY,ANGELA,Excluded,10,0,3,0,2738,0,214,0,1,175
Carlow-Kilkenny,WALLACE,ADRIENNE,,1,0,0,10716,1511,0,1558,1558,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,,2,0,0,8924,0,1792,1558,3350,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,,3,0,0,8505,0,419,1558,3769,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,,4,0,0,8215,0,290,1558,4059,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,,5,0,0,7498,0,717,1558,4776,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,,6,0,0,7451,0,47,1558,4823,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,Excluded,7,0,7,0,0,-4823,1558,0,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,Excluded,8,0,7,0,0,0,1558,0,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,Excluded,9,0,7,0,0,0,1558,0,1,174
Carlow-Kilkenny,WALLACE,ADRIENNE,Excluded,10,0,7,0,0,0,1558,0,1,174
Cavan-Monaghan,Carthy,Matt,Elected,1,0,1,0,0,0,16310,16310,2,186
Cavan-Monaghan,Carthy,Matt,Elected,2,245,1,0,0,-4279,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,3,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,4,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,5,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,6,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,7,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,8,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,9,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,10,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Carthy,Matt,Elected,11,245,1,0,0,0,16310,12031,2,186
Cavan-Monaghan,Donnelly,Tate,,1,0,0,9530,507,0,2501,2501,2,187
Cavan-Monaghan,Donnelly,Tate,,2,0,0,9321,298,209,2501,2710,2,187
Cavan-Monaghan,Donnelly,Tate,,3,0,0,9006,0,315,2501,3025,2,187
Cavan-Monaghan,Donnelly,Tate,,4,0,0,8970,0,36,2501,3061,2,187
Cavan-Monaghan,Donnelly,Tate,,5,0,0,8927,0,43,2501,3104,2,187
Cavan-Monaghan,Donnelly,Tate,,6,0,0,8578,0,349,2501,3453,2,187
Cavan-Monaghan,Donnelly,Tate,,7,0,0,7956,0,622,2501,4075,2,187
